Dato,Event,Aldersgruppe,Region,Nye indlagte,Kumulative nye indlagte,Indlagte per dag
24-03-2020,Hospitalised,0-59,Hovedstaden,6,95,56
24-03-2020,Hospitalised,60+,Hovedstaden,31,209,152
24-03-2020,Hospitalised,0-59,Zealand,1,38,10
24-03-2020,Hospitalised,60+,Zealand,8,81,57
25-03-2020,Hospitalised,0-59,Nordjylland,1,8,6
25-03-2020,Hospitalised,60+,Nordjylland,5,40,27
25-03-2020,Hospitalised,0-59,Midtjylland,5,41,22
25-03-2020,Hospitalised,60+,Midtjylland,7,58,46
25-03-2020,Hospitalised,0-59,Syddanmark,3,31,18
25-03-2020,Hospitalised,60+,Syddanmark,9,50,40
25-03-2020,Hospitalised,0-59,Hovedstaden,11,106,59
25-03-2020,Hospitalised,60+,Hovedstaden,29,238,171
25-03-2020,Hospitalised,0-59,Zealand,1,39,9
25-03-2020,Hospitalised,60+,Zealand,14,95,65
26-03-2020,Hospitalised,0-59,Nordjylland,1,9,6
26-03-2020,Hospitalised,60+,Nordjylland,4,44,30
26-03-2020,Hospitalised,0-59,Midtjylland,4,45,24
26-03-2020,Hospitalised,60+,Midtjylland,7,65,46
26-03-2020,Hospitalised,0-59,Syddanmark,6,37,23
26-03-2020,Hospitalised,60+,Syddanmark,6,56,43
26-03-2020,Hospitalised,0-59,Hovedstaden,12,118,56
26-03-2020,Hospitalised,60+,Hovedstaden,31,269,195
26-03-2020,Hospitalised,0-59,Zealand,6,45,13
26-03-2020,Hospitalised,60+,Zealand,6,101,65
27-03-2020,Hospitalised,0-59,Nordjylland,3,12,7
27-03-2020,Hospitalised,60+,Nordjylland,1,45,29
27-03-2020,Hospitalised,0-59,Midtjylland,5,50,24
27-03-2020,Hospitalised,60+,Midtjylland,6,71,50
27-03-2020,Hospitalised,0-59,Syddanmark,4,41,27
27-03-2020,Hospitalised,60+,Syddanmark,15,71,54
27-03-2020,Hospitalised,0-59,Hovedstaden,17,135,66
27-03-2020,Hospitalised,60+,Hovedstaden,19,288,198
27-03-2020,Hospitalised,0-59,Zealand,4,49,16
27-03-2020,Hospitalised,60+,Zealand,9,110,66
28-03-2020,Hospitalised,0-59,Nordjylland,0,12,6
28-03-2020,Hospitalised,60+,Nordjylland,5,50,30
28-03-2020,Hospitalised,0-59,Midtjylland,1,51,22
28-03-2020,Hospitalised,60+,Midtjylland,8,79,53
28-03-2020,Hospitalised,0-59,Syddanmark,7,48,27
28-03-2020,Hospitalised,60+,Syddanmark,9,80,61
28-03-2020,Hospitalised,0-59,Hovedstaden,11,146,69
28-03-2020,Hospitalised,60+,Hovedstaden,18,306,193
28-03-2020,Hospitalised,0-59,Zealand,4,53,17
28-03-2020,Hospitalised,60+,Zealand,16,126,77
29-03-2020,Hospitalised,0-59,Nordjylland,0,12,5
29-03-2020,Hospitalised,60+,Nordjylland,4,54,33
29-03-2020,Hospitalised,0-59,Midtjylland,1,52,18
29-03-2020,Hospitalised,60+,Midtjylland,3,82,52
29-03-2020,Hospitalised,60+,Syddanmark,8,88,68
29-03-2020,Hospitalised,0-59,Hovedstaden,5,151,68
29-03-2020,Hospitalised,60+,Hovedstaden,18,324,198
29-03-2020,Hospitalised,0-59,Zealand,3,56,16
29-03-2020,Hospitalised,60+,Zealand,4,130,75
29-03-2020,Hospitalised,0-59,Syddanmark,0,48,27
30-03-2020,Hospitalised,0-59,Nordjylland,1,13,5
30-03-2020,Hospitalised,0-59,Midtjylland,3,55,19
30-03-2020,Hospitalised,60+,Midtjylland,7,89,56
30-03-2020,Hospitalised,0-59,Syddanmark,2,50,24
30-03-2020,Hospitalised,60+,Syddanmark,1,89,64
30-03-2020,Hospitalised,0-59,Hovedstaden,13,164,75
30-03-2020,Hospitalised,60+,Hovedstaden,27,351,219
30-03-2020,Hospitalised,0-59,Zealand,2,58,16
30-03-2020,Hospitalised,60+,Zealand,10,140,78
30-03-2020,Hospitalised,60+,Nordjylland,0,54,33
31-03-2020,Hospitalised,0-59,Nordjylland,1,14,5
31-03-2020,Hospitalised,60+,Nordjylland,3,57,32
31-03-2020,Hospitalised,0-59,Midtjylland,4,59,21
31-03-2020,Hospitalised,60+,Midtjylland,3,92,56
